"NULL","cKMNummer","geschaeftspartnerNummerGeschaeftspartnerNummer","cKMNummerCKMNummer","partnerKategoriePartnerKategorie","partnerTypPartnerTyp","anredeAnrede","nameName","vornameVorname","geburtsdatumGeburtsdatum","adressTypAdressTyp","strasseStrasse","postfachOhneNummerPostfachOhneNummer","pLZPLZ","ortOrt","landLand","korrespondenzSpracheKorrespondenzSprache","telefonNummerTelefonNummer","land","vertragsnummerVertragsnummer","dienststellenCode","vertragsart","vonDatumVonDatum","bisDatumBisDatum","statusStatus","hauptzahlungsmittel","leistungsvertragspositionsnummer","artikel","leistungsID","status","vonDatum","bisDatum","partnerfunktion","geschaeftspartnerNummer","partnerKategorie","partnerTyp","anrede","name","vorname","geburtsdatum","adressTyp","strasse","postfachOhneNummer","pLZ","ort","land0","korrespondenzSprache","emailAdresse","telefonNummer","land1","istBasisGA","vertragsnummer","aktivitaet","trialFlag","mitMindestVertragsdauer","klasse","meldungstyp","meldung","nachrichtenklasse","nachrichtennummer"
"1","1165856","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ZDO_LBBP","10626236","ZCKN","PERSON","FRAU","Kutschera","Beatrice","1990-09-19","XXDEFAULT","Av. de la Tortue 69","true","1007","Lausanne","CH","FR","b@maxant.co.uk","123123123","CH","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","1160416","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ZDO_VP","10626237","ZCKN","PERSON","FRAU","Kutschera","Ant","1950-08-27","XXDEFAULT","Avenue des Chiens 62","true","1007","Lausanne","CH","DE","NULL","123123123","CH","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","1178058","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ZDO_LBBP","10631806","ZCKN","PERSON","HERR","Jung","Spunt","2000-10-10","XXDEFAULT","Avenue des Chiens 62","true","1007","Lausanne","CH","DE","NULL","123456789","CH","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","1160416","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ZDO_LBBP","10626237","ZCKN","PERSON","FRAU","Kutschera","Ant","1950-08-27","XXDEFAULT","Avenue des Chiens 62","true","1007","Lausanne","CH","DE","NULL","123123123","CH","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","1165857","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ZDO_VP","10626240","ZCKN","PERSON","HERR","Kutschera","Carbonara","1990-09-19","XXDEFAULT","Av. Davinci","true","1007","Lausanne","CH","IT","NULL","123123123","CH","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MD50000083","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MD50000092","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MT00003123","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","true","MT00003136","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"10","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MT00003127","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
