grouping,grundkartennummer,geburtsdatum,vorname,geburtsdatumGeprueft,dienststellenName,geschlecht,sprache,telefonnummer,oevKundennummer,email,name,plz,ort,landCode,postfachVorhanden,strasseUndHausnummer,mutationDatum,fotoDatum,oevKundennummer (2)
1,VDJ896,2006-07-06T00:00:00.000+02:00,Ant MutiertDri,true,POS,Mann,FRANZOESISCH,0786428798,1165115,NULL,Kutschera,1007,Lausanne,CH,false,avenue des Figuiers 21,2013-12-08+01:00,NULL,1165115
2,VDC828,1950-08-27T00:00:00.000+01:00,Ant,true,POS,Frau,DEUTSCH,123123123,1160416,NULL,Kutschera,1007,Lausanne,CH,false,Avenue des Chiens 62,2013-10-24+02:00,NULL,1160416
3,RVC725,1970-12-12T00:00:00.000+01:00,Sonja,true,POS,Frau,DEUTSCH,079 123 456 78,1194597,NULL,Tester,3000,Bern,CH,false,Brunnaderstrasse 46,2013-12-10+01:00,NULL,1194597
4,ABC123,NULL,Carla,false,BN TESTS WOR,Frau,ITALIENISCH,13256469,1154096,NULL,Bolognese,4058,Basel,CH,false,Clarastrasse 12,2013-12-10+01:00,2012-08-25T00:00:00.000+02:00,1154096
5,GLM269,NULL,Carla,false,BN TUP-P2/2,Frau,DEUTSCH,NULL,1154517,NULL,Bolognese,4058,Basel,CH,false,Clarastrasse 12,2009-03-05+01:00,NULL,1154517
6,ICE821,NULL,Carla,false,BN TUP-P2/2,Frau,DEUTSCH,NULL,1154518,NULL,Bolognese,4058,basel,CH,false,Clarastrasse 12,2009-03-05+01:00,NULL,1154518
7,NLX969,NULL,Carla,false,BN TUP-P2/2,Frau,DEUTSCH,NULL,1154520,NULL,Bolognese,4058,Basel,CH,false,Clarastrasse 14,2009-03-06+01:00,NULL,1154520
8,VOX471,NULL,Carla,false,BN TUP-P2/2,Frau,DEUTSCH,NULL,1154521,NULL,Bolognese,4058,Basel,CH,false,Clarastrasse 15,2009-03-06+01:00,NULL,1154521
9,ABC123,NULL,Carla,false,BN TESTS WOR,Frau,ITALIENISCH,132564689,1154613,NULL,Bolognese,4058,Basel,CH,false,Clarastrasse 12,2013-09-19+02:00,2009-08-12T00:00:00.000+02:00,1154613
10,IBT853,NULL,Carla,false,BN TS-RL BRZ,Frau,ITALIENISCH,13256469,1154614,NULL,Bolognese,4058,Basel,CH,false,Clarastrasse 12,2009-06-22+02:00,NULL,1154614
11,ABC123,1997-01-01T00:00:00.000+01:00,Carla,true,BN P-IT BETR,Frau,ITALIENISCH,13256469,1159339,NULL,Bolognese,4058,Basel,CH,false,Clarastrasse 12,2012-06-21+02:00,NULL,1159339
12,ABC123,NULL,test,false,U115283 TUBD1033,Mann,DEUTSCH,0123456789,1153777,NULL,Testen,3012,Bern,CH,false,Bühlstrasse 42,2013-10-31+01:00,2008-04-10T00:00:00.000+02:00,1153777
13,DLE716,1965-11-22T00:00:00.000+01:00,test,true,BN TUP-P2/1,Mann,DEUTSCH,NULL,1041669,NULL,testen,3000,bruch 65,CH,false,murks,2002-08-13+02:00,NULL,1041669
14,ABC123,2005-01-01T00:00:00.000+01:00,Oskar,true,BN TUP-P2/1,Frau,DEUTSCH,NULL,1063563,abcd.def@abc.ch,Paroz,3012,Bern,CH,false,Mittelstrasse 43,2008-01-23+01:00,2008-02-01T00:00:00.000+01:00,1063563
